商品名称,商品价格,图片链接,成分,型号
COSRX RED RICE INOSITOL Exfoliating Care Pore Wash-Off Peel Serum,"$22.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/RedRice_Inositol_Serum_18.webp?v=1776304808,"A peeling serum that gently exfoliates dead skin cells and impurities, which may cause blackheads and whiteheads, for visibly smoother and clearer skin.",null
COSRX RED RICE INOSITOL Pore Clarifying Deep Cleanser,"$20.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/RedRice_Inositol_Creanser_17.webp?v=1776305302,null, 150mL / 5.07 fl. oz.
Low pH Good Morning Gel Cleanser,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/low-ph-good-morning-gel-cleanser-cosrx-official-11.jpg?v=1768785801,null, 
One Step Original Blemish Pore Clear Pad,"$26.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/OneStep_Calming_Pad_00.jpg?v=1774854164,null, 100 Pads / 10.14 fl. oz. (300mL)
One Step Original Peptide Collagen Lifting Glow Pad,"$26.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/22.webp?v=1774854217,null,: 100 Pads / 10.14 fl. oz. (300mL)
One Step Original Tone Clarifying Moisture Pad,"$26.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/One-Step_Moisture_Pad_22.webp?v=1774854127,null, 100 Pads / 7. 77 fl. oz. (230mL)
One Step Original Clear Skin Calming Pad,"$26.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/OneStep_Calming_Pad_19.jpg?v=1774854164,null, 100 Pads / 9.46 fl. oz. (280mL)
Master Patch Intensive [90ea],"$25.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/master-patch-intensive-90ea-cosrx-official-7.png?v=1724836508,null,null
COSRX The Peptide Collagen Lifting Glow Hydrogel Mask,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/250407_HydrogelMask4441_R1.webp?v=1754898195,"This hydrogel mask, formulated with 6 types of Peptides and Low-Molecular-Weight Collagen, turns transparent as it delivers active ingredients onto the skin. ", : 1sheet / 3sheets
Advanced Snail Peptide Eye Cream,"$28.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/SnailEyecream_08.webp?v=1778476464,"Non- heavy, double-functioning eye cream that visibly brightens the eye area. Hydrating, fast absorbing eye cream for EVERYONE - 20s, 30s, 70s, even teens - without over nourishment.",null
COSRX PDRN EXOSOME Skinplaning Glaze Mask,"$17.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/PDRN_Exosome_mask_16.webp?v=1770886507,null,: 50 mL / 1.69 fl oz
Balancium Comfort Ceramide Cream,"$26.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/balancium-comfort-ceramide-cream-cosrx-official-7.jpg?v=1724836874,null, 
The Ceramide Skin Barrier Moisturizing Mist,"$24.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Mist_20__4.webp?v=1755070277,null,: 120 mL / 4.06 fl oz
商品名称,商品价格,图片链接,成分,型号
AC Collection Calming Foam Cleanser,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-foam-cleanser-cosrx-official-11.jpg?v=1724835769,null,"Smart, daily acne cleanser that provides both freshness and moisture with gentle foam."
Vitamin E Vitalizing Sunscreen SPF 50+,"$16.10
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/vitamin-e-vitalizing-sunscreen-spf-50-cosrx-official-13.jpg?v=1724836765,null,null
BHA Blackhead Power Liquid,"$17.50
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BHA_Blackhead_Toner_10_1.webp?v=1780904909,null,BHA & Niacinamide exfoliating liquid for gentle exfoliation and oil control. Suggested for mid-level acid users.
Full Fit Propolis Light Cream,"$32.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/FullfitCream_Tube_800x1067_3fabfe0b-ee27-4afa-ba89-73b1cb05c6dc.jpg?v=1745370401,null,"Moisturizing cream with high percentage of black bee propolis complex and antioxidants. Its light-weight, gel-like cream texture absorbs effortlessly onto skin, allowing you to use any circumstances you want. Makes your skin more plump and hydrated when using with Full fit Propolis toner and ampoule."
Advanced Snail Mucin Glass Glow Hydrogel Mask_3ea,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/1_b033c958-e756-4b27-ba08-55ef9a5f0b87.png?v=1775196344,null, : 1sheet / 3sheets
Advanced Snail Radiance Dual Essence,"$19.60
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/advanced-snail-radiance-dual-essence-cosrx-official-11.jpg?v=1724835835,High-efficacy snail essence mixes with the radiance essence upon pumping to create a combination of plumping and brightening care.  ,null
Full fit Propolis Light Ampoule,"$28.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/full-fit-propolis-light-ampoule-cosrx-official-12.jpg?v=1724835500,null,"Intensive caring ampule to make your skin glowy and smooth without stickiness. Best selling ampoule that everyone loves, all year long! Add to your routine for extra nourished skin with that healthy glow."
Lip Sleep - Balancium Ceramide Lip Butter Sleeping Mask,"$19.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/lip-sleep-balancium-ceramide-lip-butter-sleeping-mask-cosrx-official-8.jpg?v=1724836297,null,null
Full Fit Propolis Nourishing Magnet Sheet Mask,"$6.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/full-fit-propolis-nourishing-magnet-sheet-mask-cosrx-official-9.jpg?v=1724836056,null,1 ea
ALL ABOUT SNAIL KIT 4-step,"$25.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/all-about-snail-kit-4-step-cosrx-official-11.jpg?v=1724835912, , 
Lip Plump - Refresh AHA BHA Vitamin C Lip Plumper,"$19.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/lip-plump-refresh-aha-bha-vitamin-c-lip-plumper-cosrx-official-6.jpg?v=1724836342,null,: 0.70 fl.oz / 20g
Acne Pimple Master Patch,"$6.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/acne-pimple-master-patch-cosrx-official-5.jpg?v=1724835745,Hydrocolloid patches that protect wounded or troubled area from getting worse while maintaining humidity of skin to prevent further breakouts.," : 24patches (9 Large Dots, 5 Medium Dots, 10 Small Dots) / 1 ea"
Balancium Comfort Ceramide Soft Cream Sheet Mask,"$6.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/balancium-comfort-ceramide-soft-cream-sheet-mask-cosrx-official-10.jpg?v=1724835950,null,null
Full Fit Propolis Synergy Toner,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/full-fit-propolis-synergy-toner-cosrx-official-14.jpg?v=1724835453,null,null
COSRX Skin Barrier Moisturizing Body Cream,"$25.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Skinbarrier_Cream_17__3.webp?v=1755677703,null,: 450 ml / 15.2 fl. oz.
Hyaluronic Acid Intensive Cream,"$25.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067____231120_c6fd833e-1e63-446f-81bb-ca35af5f8f47.webp?v=1704429290,null,: 3.52 oz / 100g
Full Fit Propolis Honey Overnight Mask,"$18.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/full-fit-propolis-honey-overnight-mask-cosrx-official-17.jpg?v=1724836009,null,"Enriched with more than 70% of Propolis Extract and natural beeswax, this mask provides intensive hydration with refreshing moisture. Also, the moisturizer is so lightweight that it is absorbed into the skin very quickly, leaving the skin hydrated and baby soft."
Hydrium Watery Toner,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/waterytoner50_01.jpg?v=1704429317,null,Moisture toner with vitamin B5 and hyaluronic acid which makes your skin more dewy with full of hydration. Not only it's moisturizing toner but also it's the foundation of skin health recovering skincare step.
Pure Fit Cica Cream Intense,"$16.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/pure-fit-cica-cream-intense-cosrx-official-9.jpg?v=1724836167,1.7 fl.oz / 50ml,null
Hydrium Moisture Power Enriched Cream,"$25.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/hydrium-moisture-power-enriched-cream-cosrx-official-10.jpg?v=1724835160,null,"A lightweight, fast-absorbing cream that delivers immediate, pure hydration even for angry, red acne skin. A cream to lock in moisture makes severely dry skin instantly hydrated and moist for throughout the day."
Advanced Snail Mucin Power Sheet Mask 10 Sheets,"$17.50
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/advanced-snail-mucin-power-sheet-mask-10-sheets-cosrx-official-11.jpg?v=1724835972,null,"Sheet mask dipped in 35,000 ppm of snail mucin delivers nourishment and hydration skin deep! The natural-derived cellulose sheet creates perfect face-hugging fit and allows rich formula to be effectively absorbed into skin."
Advanced Snail Hydrogel Eye Patch,"$28.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/advanced-snail-hydrogel-eye-patch-cosrx-official-8.jpg?v=1765523642,null,"Hydrogel eye patch which visibly hydrates, plumps and brightens the delicate eye area. The eye mask consists of two sizes - small and large to soothe and hydrate the skin with a perfect fit."
AHA/BHA Clarifying Treatment Toner,"$14.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AHABHA_Toner_13.webp?v=1780905670,"The formulation of AHA+BHA+Purifying Botanical ingredients help to improve skin texture, increase vitality, and control pores. Eliminate impurities, exfoliate, and hydrate all in one step.",null
AC Collection Calming Liquid Intensive,"$13.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-liquid-intensive-cosrx-official-6.jpg?v=1724836899,null,"An intensive, fast-action liquid that refreshes and purifies acne skin. Cooling, Clearing care for troubled skin. *with alcohol derived from plants"
COSRX The Alpha-Arbutin Discoloration Care Hydrogel Mask,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Alpha-Arbutin_Hydrogel_Mask_19.webp?v=1747616658,"This hydrogel mask, formulated with Alpha-Arbutin and Low-Molecular-Weight Collagen, turns transparent as it delivers active ingredients onto the skin. ", 
Master Patch Basic [36ea],"$12.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/master-patch-basic-36ea-cosrx-official-7.png?v=1724836463, 12mm Patches (36ea),null
Master Patch Intensive [36ea],"$12.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/master-patch-intensive-36ea-cosrx-official-7.png?v=1724836525,null,: 13*9mm & 16*11mm (36 patches)
One Step Original Clear Pad,"$22.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Original_Pad_11.jpg?v=1724836738,null,"Soft cotton pads pre-soaked in essence to remove dead skin cells and excess sebum. Free of a cleansing component, also can be used as a makeup corrector."
Poreless Clarifying Charcoal Mask Pink,"$19.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/poreless-clarifying-charcoal-mask-pink-cosrx-official-12.jpg?v=1724836368," Purifying, skin-perfecting, and color-changing mask to turn your self-care night into a professional spa!",3.80 fl.oz / 110g
Hyaluronic Acid Hydra Power Essence,"$25.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067____231120_9c18dd40-19ac-413d-a55f-d90299ee61fc.webp?v=1704429290,3.38 fl.oz / 100mL,null
Galactomyces 95 Tone Balancing Essence,"$24.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/galactomyces-95-tone-balancing-essence-cosrx-official-5.png?v=1724835423,null,3.38 fl.oz / 100mL
Lip Scrub - Full Fit Honey Sugar Lip Scrub,"$19.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/lip-scrub-full-fit-honey-sugar-lip-scrub-cosrx-official-6.jpg?v=1724836329,A lip scrub that gently buffs away dead flakes with sugar crystals and keeps lips hydrated with honey extract.,null
Hydrium Triple Hyaluronic Moisturizing Cleanser,"$18.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/hydrium-triple-hyaluronic-moisturizing-cleanser-cosrx-official-10.jpg?v=1724836077,null,"First step foam cleanser, which creates a rich lather of cushion bubbles, that helps to create the perfect cleanse and provides a moist finish with the help of triple hyaluronic acids."
Centella Water Alcohol-Free Toner,"$17.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/centella-water-alcohol-free-toner-cosrx-official-3.jpg?v=1724835532,null,"Watery, spray type toner provides relief to irritated and sensitive skin and calms redness. We kept the ingredient list short and simple and exclude all the unnecessary ingredients that might irritate the skin."
Ultimate Nourishing Rice Overnight Spa Mask,"$18.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_6.webp?v=1778477900,null,"Enriched with over 68% Rice Extract, this overnight cream-type mask provides intensive nourishment and deep moisturization, leaving your skin brighter, softer, and glowing."
AC Collection Acne Patch,"$8.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067__ac__231120.webp?v=1724835852,null,null
The AHA 2 BHA 2 Blemish Treatment Serum,"$23.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AHA2BHA2_Blemish_14_2.jpg?v=1741592927,null, 
AC Collection Lightweight Soothing Moisturizer,"$19.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-lightweight-soothing-moisturizer-cosrx-official-11.jpg?v=1724835888,null,null
Refresh ABC Daily Toner (AHA BHA Vitamin C),From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/refresh-abc-daily-toner-aha-bha-vitamin-c-cosrx-official-9.jpg?v=1771984847,"Skin-revitalizing daily toner containing AHA, BHA, and Vitamin C that helps to improve the skin's texture and tone to leave dull skin refined and radiant. Absorbs immediately into the skin to leave it soft, smooth and prepped for the next skincare products to follow.",null
Pure Fit Cica Clear Cleansing Oil,"$29.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/pure-fit-cica-clear-cleansing-oil-cosrx-official-5.jpg?v=1724836237,null,null
AC Collection Calming Liquid Mild,"$26.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-liquid-mild-cosrx-official-5.jpg?v=1724836569,null,A soothing essence with effective ingredients to quickly relieve mild acne for daily use.
Oil-Free Ultra-Moisturizing Lotion with Birch Sap,"$17.50
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/oil-free-ultra-moisturizing-lotion-with-birch-sap-cosrx-official-8.jpg?v=1724836832,"The weightless subtle lotion which is a skin-friendly natural ingredient full of vitamins and antioxidants, effectively calming and treating irritated skin.",null
Low pH Goodnight Soft Peeling Gel,"$16.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/low-ph-goodnight-soft-peeling-gel-cosrx-official-9.jpg?v=1724836227,null,"With a pH similar to skin and barrier protecting components, it works great for even sensitive skin. Quick, easy and convenient, a peeling gel that can be used directly on wet skin while cleansing."
One Step Moisture Up Pad,"$22.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Moisture_Pad_11.jpg?v=1710475814,"Alaska glacier water fills your skin with moisture, Moisture toning pads with BHA and PHA to gently care your skin texture.",null
Centella Blemish Cream,"$21.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/centella-blemish-cream-cosrx-official-7.jpg?v=1724835139,null,: 1.05 fl.oz / 30g
AHA 7 Whitehead Power Liquid,"$11.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067___7__231120.webp?v=1704429303,null,"Formulated with 7% Glycolic Acid (AHA), the toner gently exfoliates skin and helps reveal a radiant, even-toned complexion."
COSRX AIRY-LIGHT OIL CONTROL CLEAR SUNSCREEN STICK SPF 50,"$16.10
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Airy-Light_Clear_SunStick_20__2.webp?v=1774597090,null,null
Hydrium Triple Hyaluronic Water Wave Sheet Mask,"$6.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/hydrium-triple-hyaluronic-water-wave-sheet-mask-cosrx-official-7.jpg?v=1724836094,null,Formulated with triple hyaluronic acid to deliver the ultimate hydration
AC Collection Ultimate Spot Cream,"$23.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-ultimate-spot-cream-cosrx-official-8.jpg?v=1724835786, ,null
Hydrium Green Tea Aqua Soothing Gel Cream,"$25.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/hydrium-green-tea-aqua-soothing-gel-cream-cosrx-official-10.jpg?v=1724835341,null,"A gel-like, cooling, non-oily gel cream moisturizer that immerses skin in hydration. It absorbs quickly and delivers instant hydration with a fresh finish."
Hydrium Centella Aqua Soothing Ampoule,"$26.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/hydrium-centella-aqua-soothing-ampoule-cosrx-official-12.jpg?v=1724835320,null,null
Acne Pimple Master Patch Original Fit 4SET (96 Patches),"$8.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Acne_pimple_patch_04.webp?v=1761012126,Hydrocolloid patches that protect wounded or troubled areas from worsening while maintaining skin humidity to prevent further breakouts.," : 24patches (9 Large Patches, 5 Medium Patches, 10 Small Patches) *4 ea"
Refresh AHA/BHA Vitamin C Daily Cream,"$19.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/refresh-ahabha-vitamin-c-daily-cream-cosrx-official-9.jpg?v=1724836447,null,"Pure Fit CICA-7 Complex 58.6%, Cica cream calms sensitive skin comfortably and helps recover skin quickly."
Pure Fit Cica Cream,"$32.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/pure-fit-cica-cream-cosrx-official-8.jpg?v=1724835251,null,"Pure Fit CICA-7 Complex 58.6%, Cica cream calms sensitive skin comfortably and helps recover skin quickly."
Hydrium Triple Hyaluronic Moisture Ampoule,"$26.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/hydrium-triple-hyaluronic-moisture-ampoule-cosrx-official-11.jpg?v=1724835363,null,"Viscous serum texture leaves skin feeling supple and hydrated to the touch. Doesn't have a greasy finish and gives you visibly plumped healthy complexion all day long. Gives an immediate plumping effect and long lasting hydration for dry, dehydrated, and flaky skin. "
AC Collection Blemish Spot Clearing Serum,"$27.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-spot-clearing-serum-cosrx-official-7.jpg?v=1724835866,null,/Active & Red Spot/ - calming
Clear Fit Master Patch,"$6.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/clear-fit-master-patch-cosrx-official-6.jpg?v=1724835512,18 patches/1ea, 
Pure Fit Cica Calming True Sheet Mask,"$6.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/pure-fit-cica-calming-true-sheet-mask-cosrx-official-6.jpg?v=1724835928,null,1 ea
Pure Fit Cica Creamy Foam Cleanser,"$18.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/pure-fit-cica-creamy-foam-cleanser-cosrx-official-8.jpg?v=1724836260,"A creamy foam cleanser with Pure Fit Cica-7 Complex to protect the skin while whisking away dirt and impurities, leaving the skin feeling fresh and clean.",null
Refresh AHA/BHA Vitamin C Booster Serum,"$25.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/refresh-ahabha-vitamin-c-booster-serum-cosrx-official-9.jpg?v=1724836428,null,null
Master Patch X-Large,"$9.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/master-patch-x-large-cosrx-official-6.png?v=1724836492,30*60mm,10ea
Master Patch Basic [90ea],"$25.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/master-patch-basic-90ea-cosrx-official-7.png?v=1724836479, ,12mm Patches (90ea)
Airy-Light Invisible Sun Stick,"$0.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Airy-Light_SunStick_18.webp?v=1749081344,"A lightweight, transparent sunscreen stick that glides on effortlessly to provide powerful UV protection without a white cast, leaving a powdery soft-matte finish for all-day comfort and convenient on-the-go use.", 
COSRX One Step Green Calming Pad,"$22.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Green_Pad_10.jpg?v=1725350806,70 Pads,null
Perfect Sebum Centella Powder Puff OPP,"$3.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/perfect-sebum-centella-powder-puff-opp-cosrx-official.jpg?v=1724836036,null,null
Aloe Soothing Sun Cream  SPF50+/ PA+++,"$16.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/aloe-soothing-sun-cream-spf50-pa-cosrx-official-10.jpg?v=1724835579,null,"Formulated with Aloe Arborescens Leaf Extract, the daily soothing sunblock is so lightweight that is feels like a moisturizer, and it does not leave any white cast. Designed to be travel friendly, you can easily carry COSRX Aloe Soothing Sun Cream anywhere and layer on sun protection anytime."
Aloe 54.2 Aqua Tone-up Sunscreen SPF 50+ PA++++,"$0.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/aloe-54-2-aqua-tone-up-sunscreen-spf-50-pa-cosrx-official-8.jpg?v=1724836925,null,null
Ultra-Light Invisible Sunscreen SPF50 PA++++,"$16.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Ultra_light_invisible_Sun_16.jpg?v=1724837157,null,null
The AHA BHA PHA LHA 35 Peel,"$19.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The_35peel_15.webp?v=1724837006,null,"Dramatically smooths skin texture and clears congested pores with a powerful multi-acid blend. This professional formula gently exfoliates, minimizes pores, and reveals a more even, radiant complexion."
AC Collection Blemish Care Sheet Mask,"$6.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-care-sheet-mask-cosrx-official-10.jpg?v=1724836208,null,1 ea
COSRX PEPTIDE-132 Hair Bonding Mini Kit,"$32.40
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Peptide_132_18_89222389-552a-4317-b96c-4f98fe172982.webp?v=1774588957,null,1) COSRX PEPTIDE-132 Ultra Perfect Hair Bonding Shampoo (100 mL / 3.38 fl. oz)
PDRN Full Routine Kit,"$73.10
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/04_5PDRN_FullRoutine_Kit_b9cfb81b-2c89-468c-a368-9d240765701f.jpg?v=1775436983,null,"The PDRN Full Routine Kit is a complete skin renewal routine engineered to soothe, vitalize, brighten, and seal in a glazed glow — powered by 5 PDRN Complex, Exosome, and Low-Molecular-Weight Collagen from the very first step to the last."
PDRN Glass Skin Duo,"$35.70
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/02_5PDRN_GlassSkin_Duo.jpg?v=1775202740,null,The 
PDRN Daily Routine Kit,"$60.35
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/03_5PDRN_DailyRoutine_Kit_bfd28493-a098-4dda-8255-f322aa5c4e7f.jpg?v=1775202843,null,The 
PDRN Premium Routine Kit,"$87.55
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/05_5PDRN_PremiumRoutine_Kit.jpg?v=1775202740,null,The 
All-Day Sun Protection Duo,"$39.10
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/e_-__800x1067_e51c42f1-fbf8-4f2d-987a-20a9d10cdd74.jpg?v=1776761697,null,null
Two in One Poreless Power Liquid,"$25.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/two-in-one-poreless-power-liquid-cosrx-official-6.jpg?v=1724835173,null,"Two in one, skin-smoothing essence-toner that visibly tightens and reduces the look of pores."
Double Peptide Firming Duo,"$44.20
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptideSerum_peptideSerum.jpg?v=1782717064,null,"Double the peptides, double the firmness. "
The Blue Peptide Bakuchiol Plump Duo,"$49.50
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptideSerum_Cream.jpg?v=1782717004,null,"The full Copper Peptide × Bakuchiol routine — serum to treat, cream to seal — for visibly firm, plump, glass-like skin. "
Skin Barrier & Glow Routine Duo,"$44.20
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/BluePeptideSerum_SnailEssence.jpg?v=1782717031,null,"Hydrate, then treat."
COSRX PEPTIDE-132 Ultra Perfect Hair Bonding Shampoo,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Peptide_132_Shampoo_02_200ml_09fca1e8-61f0-4f8c-af3a-0c30b0d0c851.jpg?v=1774588991,Bond-repair shampoo powered by patented ,: 100 mL (3.38 fl. oz.) / 200 mL (6.76 fl. oz.) / 400 mL (13.52  fl. oz.)
The 6 Peptide Skin Booster Serum,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/1_23a79a66-a967-4533-9e71-cd88b0c6efb2.jpg?v=1724837008,null,: 150mL (5.07 fl.oz)
The Vitamin C 13 Serum,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The_VitaminC13_19.webp?v=1762850506,null,"A gentle, water-based vitamin C serum that provides moisture and absorbs quickly without stickiness. Lighter and more refreshing than the Vitamin C 23 Serum, it can be used daily. Regular use will fade blemishes, dark spots, and freckles, while improving overall skin tone."
The Hyaluronic Acid 3 Serum,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/the-hyaluronic-acid-3-serum-cosrx-official-14.jpg?v=1724836693,null,null
